"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-09-07 12:00:00",1,289.7,9.999e+20,9.999e+20,9.999e+20,69.3,0.06,0.98999995,0.00846,96747.45,9.999e+20
"2020-09-07 18:00:00",1,302,335,645,0,31,0.77,-1.61,0.00803,96485.72,0
"2020-09-08 00:00:00",1,291.9,353,448,0,61.8,1.49,-1.14,0.00871,96374.12,0
"2020-09-08 06:00:00",1,284.30002,325,0,0,89.700005,0.69,-0.01,0.0076699997,96543.65,0
"2020-09-08 12:00:00",1,288.5,314,10,0,81.200005,-1.09,-0.89,0.00914,96683.33,0
"2020-09-08 18:00:00",1,301.2,341,640,0,46.2,0.51,-3.22,0.01138,96724.56,1
"2020-09-09 00:00:00",1,295.80002,379,432,3e-06,82.200005,0.22,-2.6399999,0.0146699995,96730.836,7
"2020-09-09 06:00:00",1,293.1,395,0,2.2e-05,98.1,-1.25,-1.61,0.014819999,96911.15,81
"2020-09-09 12:00:00",1,292,395,6,1.5e-05,96.9,-1.3399999,-1.4499999,0.01361,97009.12,85
"2020-09-09 18:00:00",1,301,389,524,3e-06,52.600002,-0.26999998,-3.26,0.012809999,97018.87,48
"2020-09-10 00:00:00",1,294.1,400,336,4.5e-05,93,0.39999998,-1.8499999,0.014889999,97031.87,45
"2020-09-10 06:00:00",1,293,378,0,0.000253,99.3,-1.12,-1.05,0.01483,97111.2,29
"2020-09-10 12:00:00",1,293,406,5,4.4e-05,98.6,-1.75,-0.53999996,0.01475,97147.99,80
"2020-09-10 18:00:00",1,301.6,408,461,8e-06,56.3,-0.78,-2.03,0.01423,97002.45,56
"2020-09-11 00:00:00",1,295.6,407,343,8.9e-05,86.1,0.42999998,-1.73,0.015129999,96839.9,36
"2020-09-11 06:00:00",1,291.80002,375,0,0.000298,98,-0.96999997,-0.65999997,0.01365,96845.414,19
"2020-09-11 12:00:00",1,292.7,367,8,2.1e-05,99.1,-1.7099999,0.07,0.014599999,96878.266,2
"2020-09-11 18:00:00",1,301.2,383,569,4e-05,55.5,-0.47,-3.12,0.013739999,96723.94,12
"2020-09-12 00:00:00",1,294.1,385,415,0.000258,94.1,0.39999998,-2.36,0.01511,96705.24,2
"2020-09-12 06:00:00",1,292.7,393,0,6.4e-05,98.200005,-0.37,-2.44,0.01449,96721.85,60
"2020-09-12 12:00:00",1,291.80002,407,0,0.000116,98.200005,-0.69,-2.59,0.01365,96794.04,99
"2020-09-12 18:00:00",1,291.80002,404,23,0.000151,98,-0.90999997,-2.33,0.01364,96829.2,99
"2020-09-13 00:00:00",1,291.6,402,21,8e-05,98.200005,-0.02,-2.1,0.01347,96740.27,96
"2020-09-13 06:00:00",1,290.80002,398,0,7.3e-05,98.6,-0.14999999,-1.8499999,0.01287,96704.836,89
"2020-09-13 12:00:00",1,290.2,397,1,7.3e-05,98.8,-0.04,-1.3199999,0.01239,96728.46,98
"2020-09-13 18:00:00",1,295.2,405,139,3.4e-05,86.4,0.81,-0.11,0.01483,96719.24,92
"2020-09-14 00:00:00",1,291.7,397,208,5e-06,95.1,1.02,-0.17999999,0.013169999,96597.2,65
