"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-04-06 18:00:00",1,300.5,9.999e+20,9.999e+20,9.999e+20,40.5,0.85999995,-3.04,0.00911,101499.53,9.999e+20
"2020-04-07 00:00:00",1,294.9,365,512,0,57.600002,0.89,-2.75,0.0092899995,101442.89,9
"2020-04-07 06:00:00",1,290.30002,337,0,0,80,1.9599999,-1.11,0.00967,101534.63,9
"2020-04-07 12:00:00",1,290.2,331,7,0,87.1,1.42,0.52,0.01041,101568.44,0
"2020-04-07 18:00:00",1,303.4,359,676,0,32.7,1.75,-0.37,0.00871,101320.87,1
"2020-04-08 00:00:00",1,296.6,384,508,0,55.2,1.09,1.03,0.00987,101087.375,11
"2020-04-08 06:00:00",1,292.2,362,0,0,76.700005,0.91999996,1.9699999,0.010439999,101076.4,11
"2020-04-08 12:00:00",1,291.5,348,7,0,95.5,0.83,2.08,0.012499999,101003.45,5
"2020-04-08 18:00:00",1,302.80002,392,611,1.7e-05,54.8,-0.32,4.63,0.014239999,100829.71,23
"2020-04-09 00:00:00",1,297.2,403,497,0.000251,86.6,0.57,2.84,0.01613,100666.9,47
"2020-04-09 06:00:00",1,294.1,379,0,0,95.8,1.29,3.52,0.01474,100606.055,6
"2020-04-09 12:00:00",1,294.80002,402,3,9e-06,92.6,0.13,3.6599998,0.01488,100606.99,62
"2020-04-09 18:00:00",1,303.9,415,454,6e-06,48.8,0.32999998,5.19,0.01349,100473.125,70
"2020-04-10 00:00:00",1,299.6,409,505,2.2e-05,64.4,1.9599999,3.53,0.013909999,100290.05,39
"2020-04-10 06:00:00",1,294.30002,380,0,2.7e-05,92.8,-1.35,2.71,0.01452,100542.06,68
"2020-04-10 12:00:00",1,289.2,370,1,2e-06,40,-4.66,-0.06,0.00451,100925.64,92
"2020-04-10 18:00:00",1,284.5,359,57,0.000258,83.1,-2.2,0.04,0.0068599996,101216.836,98
"2020-04-11 00:00:00",1,286.4,338,226,1.2e-05,70.700005,-0.06,0.45,0.00664,101079.46,72
"2020-04-11 06:00:00",1,284.1,303,0,0,59.600002,-1.8499999,0.08,0.0047899997,101275.22,44
"2020-04-11 12:00:00",1,283.2,290,7,0,55.100002,-2.18,-0.42,0.0041799997,101476.164,56
"2020-04-11 18:00:00",1,295.7,331,502,0,27.2,-0.97999996,-0.58,0.00457,101464.48,95
"2020-04-12 00:00:00",1,290.2,347,320,0,43.600002,0.08,-2.25,0.00521,101350.54,98
"2020-04-12 06:00:00",1,287,307,0,0,69.5,0.78,-2.58,0.0067999996,101266.9,45
"2020-04-12 12:00:00",1,290.5,339,6,0,82.200005,2.03,-2.83,0.01007,101077.39,65
"2020-04-12 18:00:00",1,298.80002,411,277,7.8e-05,76.700005,5.8199997,-0.48999998,0.0157,100834.92,86
"2020-04-13 00:00:00",1,297.2,402,331,0.000258,77.9,5.5299997,-0.26,0.0145499995,100567.58,98
"2020-04-13 06:00:00",1,295.2,394,0,0.00012,92.4,5.45,0.97999996,0.015269999,100601.414,98
"2020-04-13 12:00:00",1,295.7,408,1,0.000466,92.200005,4.65,4.41,0.01572,100626.266,97
"2020-04-13 18:00:00",1,300.9,414,396,0.000346,68.5,0.69,3.31,0.015899999,100770.35,65
"2020-04-14 00:00:00",1,296.6,416,389,0.000239,83.200005,0.32,0.52,0.01492,100781.875,37
"2020-04-14 06:00:00",1,294.1,376,0,7e-06,90.5,-0.83,-1.38,0.01395,100957.055,29
"2020-04-14 12:00:00",1,293.9,389,3,0,91.5,-1.4399999,-1.66,0.01392,100964.86,91
"2020-04-14 18:00:00",1,302,393,589,3.2e-05,58.5,3.73,-0.099999994,0.01432,100849.14,71
